en;nl;fr;de;sv;pl;No;es
Configure which quotation fields should be required, disabled or hidden;Configureer welke offertevelden vereist, uitgeschakeld of verborgen moeten zijn;Configurez les champs de devis qui doivent être obligatoires, désactivés ou masqués.;Konfigurieren Sie, welche Angebotsfelder benötigt, deaktiviert oder verborgen werden sollen.;Konfigurera obligatoriska fält för offerter;Skonfiguruj, które pola oferty mają być wymagane, wyłączone lub ukryte;Konfigurere hvilke tilbudsfelt som skal v? obligatoriske, deaktiverte eller skjulte;Configure qué campos de cotización deben ser obligatorios, deshabilitados u ocultos
Note: disabled and hidden only apply to sellers;Opmerking: uitgeschakeld en verborgen zijn alleen van toepassing op verkopers;Remarque : les champs désactivés et masqués ne s'appliquent qu'aux vendeurs.;Hinweis: Deaktiviert und verborgen gelten nur für Verkäufer;Observera: Inaktiverade och dolda fält gäller endast för säljare.;Uwaga: wyłączone i ukryte dotyczą tylko sprzedających;Merk: deaktivert og skjult gjelder bare for selgere;Nota: deshabilitado y oculto solo se aplica a los vendedores
Field;Veld;Champ;Feld;Fält;Pole;Felt;Campo
Action;Actie;Action;Aktion;Åtgärder;Akcja;Handling;Acción
Required;Vereist;Obligatoire;Benötigt;Obligatoriskt;Wymagane;P?evd;Requerido
Disabled;Uitgeschakeld;Désactivé;Deaktiviert;Inaktiverat;Wyłączony;Ufør;Desactivado
Hidden;Verborgen;Masqué;Unsichtbar;Dolda;Ukryty;Skjult;Oculto
Required contacts fields;Verplichte contact velden;Champs obligatoires pour les contacts;Benötigte Kontaktfelder;Obligatoriska kontaktfält;Wymagane pola kontaktów;Obligatoriske kontaktfelt;Campos de contactos obligatorios
Make sure that certain fields for contacts, such as the address, must be filled in.;Zorg ervoor dat bepaalde velden voor contacten, zoals het adres, moeten worden ingevuld.;Assurez-vous que certains champs pour les contacts, tels que l'adresse, doivent être remplis.;Stellen Sie sicher, dass bestimmte Felder für Kontakte, wie z. B. die Adresse, ausgefüllt werden müssen.;Se till att vissa kontaktfält, t.ex. adressen, måste fyllas i.;Upewnij się, że niektóre pola kontaktów, takie jak adres, muszą być wypełnione.;Kontroller at bestemte felt for kontakter, for eksempel adressen, m?ylles ut.;Asegúrese de que se deben completar ciertos campos para los contactos, como la dirección.
Allowed quotation actions;Toegestane offerte acties;Actions de devis autorisées;Erlaubte Angebotsaktionen;Tillåtna offertåtgärder;Dozwolone akcje ofertowania;Tillatte tilbudshandlinger;Acciones de cotización permitidas
Allowed seller quotation actions;Toegestane offerte verkoper acties;Actions de devis autorisées pour les vendeurs;Erlaubte Angebotsaktionen für Verkäufer;Tillåtna åtgärder för säljarens offerter;Pozwala sprzedawcy na akcje ofertowania;Tillatte tilbudshandlinger for selger;Acciones de cotización de vendedor permitidas
Configure which quotation actions can be used per status.;Configureer welke offerte acties per status gebruikt kunnen worden.;Configurez les actions de cotation qui peuvent être utilisées par statut.;Konfigurieren Sie, welche Angebotsaktionen pro Status verwendet werden können.;Konfigurera vilka offertåtgärder som kan användas per status.;Konfigurowanie akcji oferty, które mogą być używane dla danego stanu.;Konfigurer hvilke tilbudshandlinger som kan brukes per status.;Configure qué acciones de cotización se pueden usar por estado.
Concept;Concept;Concept;Konzept;Koncept;Pojęcie;Konsept;Concepto
Submitted;Ingediend;Soumis;Gesendet;Inskickat;Przekazane;Sendt inn;Enviado
Accepted;Geaccepteerd;Accepté;Angenommen;Godkänd;Zaakceptowane;Godtatt;Aceptado
Declined;Afgewezen;Refusé;Abgelehnt;Avslaget;Odrzucone;Avsl?;Rechazado
Debtor;Klant;Débiteur;Debitoren;Debitor;Dłużnik;Debitor;Deudor
Expired;Verlopen;Expiré;Verfallen;Utgått;Wygasłe;Utløpt;Venció
Revised;Herzien;Révisé;Geändert;Reviderad;Zmienione;Revidert;Revisado
Archived;Gearchiveerd;Archivé;Archiviert;Arkiverad;Zaarchiwizowane;Arkivert;Archivado
Allowed;Toegestaan;Autorisé;Erlaubt;Godkänd;Dozwolone;Tillatt;Permitido
Configure which quotation actions can be used by sellers.;Configureer welke offerteacties door verkopers kunnen worden gebruikt.;Configurez les actions de devis qui peuvent être utilisées par les vendeurs.;Konfigurieren Sie, welche Angebotsaktionen von Verkäufern verwendet werden können.;Konfigurera vilka offertåtgärder som kan användas av säljare.;Skonfiguruj, które akcje oferty mogą być używane przez sprzedawców.;Konfigurer hvilke tilbudshandlinger som kan brukes av selgere.;Configure qué acciones de cotización pueden usar los vendedores.
Delete lines;Offerteregels verwijderen;Supprimer des lignes;Linien löschen;Radera rader;Usuń linie;Slette linjer;Eliminar líneas
Edit line quantity;Offerteregel aantal wijzigen;Modifier la quantité de lignes;Linienanzahl bearbeiten;Redigera linjekvantiteten;Edytuj ilość linii;Rediger linjemengde;Editar cantidad de líneas
Add line to group;Offerteregel aan groep toevoegen;Ajouter une ligne à un groupe;Linie zur Gruppe hinzufügen;Lägg till rad i grupp;Dodaj linię do grupy;Legge til linje i gruppe;Agregar línea al grupo
Change line order;Offerteregel volgorde wijzigen;Modifier l'ordre des lignes;Linienreihenfolge ändern;Ändra linjens ordning;Zmień kolejność lini;Endre linjens rekkefølge;Cambiar el orden de las líneas
Add configurations;Configuraties toevoegen;Ajouter des configurations;Konfigurationen hinzufügen;Lägg till konfigurationer;Dodaj konfigurację;Legge til konfigurasjoner;Agregar configuraciones
Add features;Features toevoegen;Ajouter des fonctionnalités;Funktionen hinzufügen;Lägg till funktioner;Dodawanie wyposażenia;Legg til funksjoner;Agrega características
Copy configuration;Configuratie kopiëren;Copier la configuration;Konfiguration kopieren;Kopiera konfiguration;Kopiuj konfigurację;Kopier konfigurasjon;Copiar configuración
Hide in;Verstoppen in;Cacher dans;Verbergen in;Gömma i;Ukryj;Skjules i;Esconderse en
Overview (showroom);Overzicht (showroom);Vue d'ensemble (showroom);Übersicht (Showroom);Översikt (utställningsrum);Podgląd (showroom);Oversikt (showroom);Resumen (sala de exposición)
Formatted number;Geformatteerde nummer;Numéro formaté;Formatierte Nummer;Formaterat nummer;Sformatowany numer;Formatert nummer;Número formateado
Display;Weergave;Afficher;Display;Visa;Wyświetl;Vise;Mostrar
Standard;Standaard;Standard;Standard;Standard;Standard;Standard;Estándar
Card;Kaart;Carte;Karte;Kort;Karta;Kort;Tarjeta
Dropdown;Dropdown;Liste déroulante;Dropdown;Dropdown;Lista rozwijana;Rullegardinmeny;Desplegable
Search bar (dialog);Zoekbalk (dialoogvenster);Barre de recherche (dialogue);Suchleiste (Dialog);Sökfält (dialogruta);Pasek wyszukiwania (dialog);Søkefelt (dialogboks);Barra de búsqueda (diálogo)
Search bar (no dialog);Zoekbalk (geen dialoogvenster);Barre de recherche (sans dialogue);Suchleiste (kein Dialog);Sökfält (utan dialog);Pasek wyszukiwania (bez dialog);Søkefelt (ingen dialogboks);#N/B
Table row;Tabel rij;Ligne de table;Tabellenzeile;Tabellrad;Wiersz tabeli;Tabellrad;Fila de la tabla
Search bar pop-up;Zoekbalk pop-up;Barre de recherche dans la page;Pop-up-Suchleiste;Popup-fönster i sökfältet;Pop-up paska wyszukiwania;Popup-vindu for søkefelt;#N/B
Search bar in page;Zoekbalk op pagina;Barre de recherche dans la page;Suchleifste auf der Seite;Sökfält på sidan;Pasek wyszukiwania na stronie;Søkefelt p?iden;#N/B
Desired columns;Gewenste kolommen;Colonnes souhaitées;Gewünschte Kolonnen;Önskade kolumner;żądane kolumny;?skede kolonner;Columnas deseadas
Default Value;Standaardwaarde;Valeur par défaut;Standardwert;Standardvärde;Wartość domyślna;Standardverdi;Valor por defecto
Max value;Maximum waarde;Valeur maximale;Maximaler Wert;Maxvärde;Wartość maksymalna;Maks verdi;valor máximo
Quotation Number;Offerte nummer;Numéro du devis;Angebotsnummer;Nummer på offert;Numer Oferty;Tilbudsnummer;#N/B
Assign formula;Formule toewijzen;Attribuer une formule;Formel zuweisen;Tilldela formel;Przypisz formułę;Legg til formel;Asignar fórmula
Edit formula;Formule bewerken;Modifier la formule;Formel bearbeiten;Redigera formeln;Edytuj formułę;Redigere formel;Editar fórmula
Remove formula;Formule verwijderen;Supprimer une formule;Formel entfernen;Ta bort formeln;Usuń formułę;Fjern formel;Eliminar fórmula
Quotation number;Offerte nummer;Numéro de cotation;Angebotsnummer;Offertnummer;Numer oferty;Tilbudsnummer;#N/B
Is mandatory;Is verplicht;Est obligatoire;Ist obligatorisch;Är obligatorisk;Jest obowiązkowe;Er obligatorisk;Es obligatorio
Phantom;Phantom;Phantom;Phantom;Fantom;Fantom;Fantom;Fantasma
Create as separate quotation group;Maak als afzonderlijke offertegroep;Créer un groupe distinct pour le devis;Als separate Angebotsgruppe erstellen;Skapa en separat citatgrupp;Utwórz jako oddzielną grupę ofert;Opprett som en egen tilbudsgruppe;#N/B
Do not add to;Voeg niet toe aan;Ne pas ajouter à;Nicht hinzufügen zu;Lägg inte till i;Nie dodawaj do;Ikke legg til;no agregar a
Combine into one quotation group;Combineer in één offertegroep;Combiner en un seul groupe de devis;Zu einer Angebotsgruppe zusammenfassen;Kombinera till en offertgrupp;Łączenie w jedną grupę ofert;Kombinere til ?tilbudsgruppe;Combinar en un grupo de cotización
Visualize line;Visualiseer regel;Visualiser la ligne;Visualisierung der Linie;Visualisera linje;Wizualizacja linii;Visualiser linje;Visualizar linea
Add required;Vereist toevoegen;Ajouter obligatoire;Notwendige hinzufügen;Lägg till krävs;Dodaj wymagane;Legg til obligatorisk;Agregar requerido
Add excludes;Voeg uitsluitingen toe;Ajouter des exclusions;Ausschlüsse hinzufügen;Lägg till undantag;Dodaj wykluczenia;Legg til ekskluderinger;Agregar exclusiones
Add advanced formula;Voeg geavanceerde formule toe;Ajouter une formule avancée;Erweiterte Formel hinzufügen;Lägg till avancerade formler;Dodaj zaawansowaną formułę;Legge til avansert formel;Agregar fórmula avanzada
Add new formula;Voeg een nieuwe formule toe;Ajouter une nouvelle formule;Neue Formel hinzufügen;Lägg till en ny formel;Dodaj nową formułę;Legge til ny formel;Agregar nueva fórmula
Add New Condition;Nieuwe voorwaarde toevoegen;Ajouter une nouvelle condition;Neue Bedingung hinzufügen;Lägg till nytt krav;Dodaj nowe warunki;Legg til et nytt vilk?;Agregar nueva condición
Unselectable feature;Niet-selecteerbare feature;Caractéristique non sélectionnable;Nicht auswählbares Funktion;Ej valbar funktion;Niewybieralne wyposażenie;Ikke valgbar funksjon;Característica no seleccionable
Relationship(s) causing feature to be unselectable;Relatie (s) waardoor de feature niet te selecteren is;Relation(s) à l'origine de la non-sélection de l'élément.;Beziehung(en), die dazu führen, dass das Funktion nicht auswählbar ist;Relation(er) som gör att funktionen inte kan väljas;Relacja/e, która/e powoduje/ą, że nie można wybrać obiektu;Relasjon(er) som gjør at funksjonen ikke kan velges;Relación(es) que hace que la función no se pueda seleccionar
No broken relationships detected.;Geen defecte relaties gedetecteerd.;Aucune relation brisée n'a été détectée.;Keine defekten Beziehungen entdeckt.;Det finns inga brutna relationer.;Nie wykryto zerwanych relacji;Ingen ødelagte relasjoner oppdaget.;No se detectaron relaciones rotas.
Broken default feature;Defecte standaard feature;Fonctionnalité par défaut cassée;Defektes Standard-Feature;Bristande standardfunktion;Uszkodzone wyposażenie domyślne;?elagt standardfunksjon;Característica predeterminada rota
Relationship(s) causing feature to turn off by default;Relatie (s) waardoor de feature standaard wordt uitgeschakeld;Relation(s) causant la désactivation de la fonctionnalité par défaut;Beziehung(en), die dazu führen, dass das Funktion standardmäßig deaktiviert ist;Relation(er) som gör att funktionen är avstängd som standard.;Relacja/e, która/e powoduje/ą domyślne wyłączenie wyposażenia;Relasjon(er) som for?aker at funksjonen deaktiveres som standard;Relación(es) que hace que la función se desactive de forma predeterminada
Last error occurrence;Laatste fout opgetreden;Dernière erreur survenue;Letztes Fehlerereignis;Senaste feltillfället;Wystąpienie ostatniego błędu;Siste feilforekomst;Ocurrencia del último error
